ikan,lat,lon,skor,kedalaman,gelombang,geometry
Tongkol (Euthynus affinis),-7.75,106.25,0.18680539065304191,0.0,0.0,POINT (106.25 -7.75)
Tongkol (Euthynus affinis),-7.75,106.5,0.30046786717232715,0.0,0.0,POINT (106.5 -7.75)
Tongkol (Euthynus affinis),-7.75,106.75,0.4794983613738378,0.0,0.0,POINT (106.75 -7.75)
Tongkol (Euthynus affinis),-7.75,107.0,0.5087723926694506,0.0,0.0,POINT (107 -7.75)
Tongkol (Euthynus affinis),-7.75,107.25,0.5232634482225628,0.0,0.0,POINT (107.25 -7.75)
Tongkol (Euthynus affinis),-7.75,107.5,0.5712369534307324,0.0,0.0,POINT (107.5 -7.75)
Tongkol (Euthynus affinis),-7.75,107.75,0.7095393906281161,0.0,0.0,POINT (107.75 -7.75)
Tongkol (Euthynus affinis),-7.75,113.25,0.27436931910326645,0.0,0.0,POINT (113.25 -7.75)
Tongkol (Euthynus affinis),-7.75,113.5,0.39285054674910835,0.0,0.0,POINT (113.5 -7.75)
Tongkol (Euthynus affinis),-7.75,113.75,0.37652487013550817,0.0,0.0,POINT (113.75 -7.75)
Tongkol (Euthynus affinis),-7.5,106.25,0.2503439846505079,0.0,0.0,POINT (106.25 -7.5)
Tongkol (Euthynus affinis),-7.5,106.5,0.38756855094842413,0.0,0.0,POINT (106.5 -7.5)
Tongkol (Euthynus affinis),-7.5,106.75,0.4145546279162763,0.0,0.0,POINT (106.75 -7.5)
Tongkol (Euthynus affinis),-7.5,113.0,0.46634290116478316,0.0,0.0,POINT (113 -7.5)
Tongkol (Euthynus affinis),-7.5,113.25,0.520519238184769,0.0,0.0,POINT (113.25 -7.5)
Tongkol (Euthynus affinis),-7.5,113.5,0.4364193352939457,0.0,0.0,POINT (113.5 -7.5)
Tongkol (Euthynus affinis),-7.25,106.25,0.4520385293104049,0.0,0.0,POINT (106.25 -7.25)
Tongkol (Euthynus affinis),-7.25,113.5,0.41258814576343406,0.0,0.0,POINT (113.5 -7.25)
Tongkol (Euthynus affinis),-7.0,106.0,0.33312661735690824,0.0,0.0,POINT (106 -7)
