ikan,lat,lon,skor,kedalaman,gelombang,geometry
Tongkol (Euthynus affinis),-3.25,111.5,0.3395125407175032,0.0,0.0,POINT (111.5 -3.25)
Tongkol (Euthynus affinis),-3.25,111.75,0.5366138410335419,0.0,0.0,POINT (111.75 -3.25)
Tongkol (Euthynus affinis),-3.25,113.0,0.4001635329186263,0.0,0.0,POINT (113 -3.25)
Tongkol (Euthynus affinis),-3.25,113.25,0.46170743144200177,0.0,0.0,POINT (113.25 -3.25)
Tongkol (Euthynus affinis),-3.25,113.5,0.5871198235760847,0.0,0.0,POINT (113.5 -3.25)
Tongkol (Euthynus affinis),-3.0,110.25,0.4870747909814645,0.0,0.0,POINT (110.25 -3)
Tongkol (Euthynus affinis),-3.0,110.5,0.46079923719674737,0.0,0.0,POINT (110.5 -3)
Tongkol (Euthynus affinis),-3.0,111.25,0.4610727176935044,0.0,0.0,POINT (111.25 -3)
Tongkol (Euthynus affinis),-3.0,111.5,0.541404319333882,0.0,0.0,POINT (111.5 -3)
Tongkol (Euthynus affinis),-3.0,111.75,0.3527706465167971,0.0,0.0,POINT (111.75 -3)
Tongkol (Euthynus affinis),-2.75,106.75,0.37523585256732195,0.0,0.0,POINT (106.75 -2.75)
Tongkol (Euthynus affinis),-2.0,110.0,0.42642023154980774,0.0,0.0,POINT (110 -2)
Cakalang (Katsuwonus pelamis),-7.75,106.25,0.4345834731710243,0.0,0.0,POINT (106.25 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,106.5,0.527041262613129,0.0,0.0,POINT (106.5 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,106.75,0.4865516839342606,0.0,0.0,POINT (106.75 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,107.0,0.5404092161229487,0.0,0.0,POINT (107 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,107.25,0.9207561752881354,0.0,0.0,POINT (107.25 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,107.5,0.9450234283592567,0.0,0.0,POINT (107.5 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,107.75,1.2708710601086395,0.0,0.0,POINT (107.75 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,113.25,0.4787634447303119,0.0,0.0,POINT (113.25 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,113.5,0.41321680044756814,0.0,0.0,POINT (113.5 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,113.75,0.4780138274217059,0.0,0.0,POINT (113.75 -7.75)
Cakalang (Katsuwonus pelamis),-7.5,106.25,0.41145225116471823,0.0,0.0,POINT (106.25 -7.5)
Cakalang (Katsuwonus pelamis),-7.5,106.5,0.4716900154123101,0.0,0.0,POINT (106.5 -7.5)
Cakalang (Katsuwonus pelamis),-7.5,106.75,0.5891283014188826,0.0,0.0,POINT (106.75 -7.5)
Cakalang (Katsuwonus pelamis),-7.5,113.0,0.7521596161001717,0.0,0.0,POINT (113 -7.5)
Cakalang (Katsuwonus pelamis),-7.5,113.25,0.5279886575345218,0.0,0.0,POINT (113.25 -7.5)
Cakalang (Katsuwonus pelamis),-7.5,113.5,0.5448896158125253,0.0,0.0,POINT (113.5 -7.5)
