ikan,lat,lon,skor,kedalaman,gelombang,geometry
Tongkol (Euthynus affinis),-7.75,106.25,0.21750657045359284,0.0,0.0,POINT (106.25 -7.75)
Tongkol (Euthynus affinis),-7.75,106.5,0.28535985918437295,0.0,0.0,POINT (106.5 -7.75)
Tongkol (Euthynus affinis),-7.75,106.75,0.3487476096348252,0.0,0.0,POINT (106.75 -7.75)
Tongkol (Euthynus affinis),-7.75,107.0,0.33952947462010935,0.0,0.0,POINT (107 -7.75)
Tongkol (Euthynus affinis),-7.75,107.25,0.41758188411951525,0.0,0.0,POINT (107.25 -7.75)
Tongkol (Euthynus affinis),-7.75,107.5,0.4055775612684289,0.0,0.0,POINT (107.5 -7.75)
Tongkol (Euthynus affinis),-7.75,107.75,0.4842338161658032,0.0,0.0,POINT (107.75 -7.75)
Tongkol (Euthynus affinis),-7.75,113.25,0.32309345298639486,0.0,0.0,POINT (113.25 -7.75)
Tongkol (Euthynus affinis),-7.75,113.5,0.29515777357832995,0.0,0.0,POINT (113.5 -7.75)
Tongkol (Euthynus affinis),-7.75,113.75,0.27987778999748325,0.0,0.0,POINT (113.75 -7.75)
Tongkol (Euthynus affinis),-7.5,106.25,0.24384964690936434,0.0,0.0,POINT (106.25 -7.5)
Tongkol (Euthynus affinis),-7.5,106.5,0.26821790628426834,0.0,0.0,POINT (106.5 -7.5)
Tongkol (Euthynus affinis),-7.5,106.75,0.28863919971331625,0.0,0.0,POINT (106.75 -7.5)
Tongkol (Euthynus affinis),-7.5,113.0,0.3888701181743444,0.0,0.0,POINT (113 -7.5)
Tongkol (Euthynus affinis),-7.5,113.25,0.3363878954982502,0.0,0.0,POINT (113.25 -7.5)
Tongkol (Euthynus affinis),-7.5,113.5,0.2991667096506923,0.0,0.0,POINT (113.5 -7.5)
Tongkol (Euthynus affinis),-7.25,106.25,0.29305585003649115,0.0,0.0,POINT (106.25 -7.25)
Tongkol (Euthynus affinis),-7.25,113.5,0.3827990706851772,0.0,0.0,POINT (113.5 -7.25)
Tongkol (Euthynus affinis),-7.0,106.0,0.25390110852114733,0.0,0.0,POINT (106 -7)
Tongkol (Euthynus affinis),-6.75,111.75,0.2176684401136873,0.0,0.0,POINT (111.75 -6.75)
Tongkol (Euthynus affinis),-6.5,110.5,0.26818320594850126,0.0,0.0,POINT (110.5 -6.5)
Tongkol (Euthynus affinis),-6.0,106.5,0.44004148831421064,0.0,0.0,POINT (106.5 -6)
Tongkol (Euthynus affinis),-6.0,106.75,0.32290060706438234,0.0,0.0,POINT (106.75 -6)
Tongkol (Euthynus affinis),-5.75,113.5,0.2645643098776402,0.0,0.0,POINT (113.5 -5.75)
Tongkol (Euthynus affinis),-5.75,114.75,0.20281079353864437,0.0,0.0,POINT (114.75 -5.75)
Tongkol (Euthynus affinis),-5.75,115.0,0.19054075841249798,0.0,0.0,POINT (115 -5.75)
Tongkol (Euthynus affinis),-5.5,115.0,0.27342473959022956,0.0,0.0,POINT (115 -5.5)
Tongkol (Euthynus affinis),-5.25,115.0,0.22635476322683926,0.0,0.0,POINT (115 -5.25)
Tongkol (Euthynus affinis),-5.0,115.0,0.2601111095049791,0.0,0.0,POINT (115 -5)
Tongkol (Euthynus affinis),-4.0,106.0,0.380588613277444,0.0,0.0,POINT (106 -4)
Tongkol (Euthynus affinis),-4.0,114.5,0.25155199770745446,0.0,0.0,POINT (114.5 -4)
Tongkol (Euthynus affinis),-3.75,106.0,0.36890470031321204,0.0,0.0,POINT (106 -3.75)
Tongkol (Euthynus affinis),-3.75,111.75,0.24219997419039885,0.0,0.0,POINT (111.75 -3.75)
Tongkol (Euthynus affinis),-3.75,112.0,0.26847709923191154,0.0,0.0,POINT (112 -3.75)
Tongkol (Euthynus affinis),-3.75,113.5,0.2378455622822488,0.0,0.0,POINT (113.5 -3.75)
Tongkol (Euthynus affinis),-3.75,113.75,0.29171543351770757,0.0,0.0,POINT (113.75 -3.75)
Tongkol (Euthynus affinis),-3.75,114.0,0.3743875569392115,0.0,0.0,POINT (114 -3.75)
Tongkol (Euthynus affinis),-3.75,114.25,0.35060617267291494,0.0,0.0,POINT (114.25 -3.75)
Tongkol (Euthynus affinis),-3.75,114.5,0.36816045102307415,0.0,0.0,POINT (114.5 -3.75)
Tongkol (Euthynus affinis),-3.5,106.0,0.29121453928576896,0.0,0.0,POINT (106 -3.5)
Tongkol (Euthynus affinis),-3.5,111.75,0.29951894593583467,0.0,0.0,POINT (111.75 -3.5)
Tongkol (Euthynus affinis),-3.5,112.0,0.31740831902663785,0.0,0.0,POINT (112 -3.5)
Tongkol (Euthynus affinis),-3.5,112.25,0.3387815950664629,0.0,0.0,POINT (112.25 -3.5)
Tongkol (Euthynus affinis),-3.5,112.5,0.2459124545115106,0.0,0.0,POINT (112.5 -3.5)
Tongkol (Euthynus affinis),-3.5,112.75,0.2521586521539189,0.0,0.0,POINT (112.75 -3.5)
Tongkol (Euthynus affinis),-3.5,113.0,0.23977062741030664,0.0,0.0,POINT (113 -3.5)
