ikan,lat,lon,skor,kedalaman,gelombang,geometry
Tongkol (Euthynus affinis),-3.25,111.5,0.2839406430721283,0.0,0.0,POINT (111.5 -3.25)
Tongkol (Euthynus affinis),-3.25,111.75,0.3065347373485565,0.0,0.0,POINT (111.75 -3.25)
Tongkol (Euthynus affinis),-3.25,113.0,0.29075321555137634,0.0,0.0,POINT (113 -3.25)
Tongkol (Euthynus affinis),-3.25,113.25,0.3077073395252228,0.0,0.0,POINT (113.25 -3.25)
Tongkol (Euthynus affinis),-3.25,113.5,0.37028855085372925,0.0,0.0,POINT (113.5 -3.25)
Tongkol (Euthynus affinis),-3.0,110.25,0.2841808795928955,0.0,0.0,POINT (110.25 -3)
Tongkol (Euthynus affinis),-3.0,110.5,0.2880183160305023,0.0,0.0,POINT (110.5 -3)
Tongkol (Euthynus affinis),-3.0,111.25,0.3062995970249176,0.0,0.0,POINT (111.25 -3)
Tongkol (Euthynus affinis),-3.0,111.5,0.3077421188354492,0.0,0.0,POINT (111.5 -3)
Tongkol (Euthynus affinis),-3.0,111.75,0.29539161920547485,0.0,0.0,POINT (111.75 -3)
Tongkol (Euthynus affinis),-2.75,106.75,0.3062871992588043,0.0,0.0,POINT (106.75 -2.75)
Tongkol (Euthynus affinis),-2.0,110.0,0.2921539545059204,0.0,0.0,POINT (110 -2)
Cakalang (Katsuwonus pelamis),-7.75,106.25,0.2899707555770874,0.0,0.0,POINT (106.25 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,106.5,0.3132782578468323,0.0,0.0,POINT (106.5 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,106.75,0.3744954764842987,0.0,0.0,POINT (106.75 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,107.0,0.40634846687316895,0.0,0.0,POINT (107 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,107.25,0.5657812356948853,0.0,0.0,POINT (107.25 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,107.5,0.6740983724594116,0.0,0.0,POINT (107.5 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,107.75,0.784564197063446,0.0,0.0,POINT (107.75 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,113.25,0.33104658126831055,0.0,0.0,POINT (113.25 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,113.5,0.3163065016269684,0.0,0.0,POINT (113.5 -7.75)
Cakalang (Katsuwonus pelamis),-7.75,113.75,0.3015264570713043,0.0,0.0,POINT (113.75 -7.75)
Cakalang (Katsuwonus pelamis),-7.5,106.25,0.299676775932312,0.0,0.0,POINT (106.25 -7.5)
Cakalang (Katsuwonus pelamis),-7.5,106.5,0.33187389373779297,0.0,0.0,POINT (106.5 -7.5)
Cakalang (Katsuwonus pelamis),-7.5,106.75,0.3947908878326416,0.0,0.0,POINT (106.75 -7.5)
Cakalang (Katsuwonus pelamis),-7.5,113.0,0.45580846071243286,0.0,0.0,POINT (113 -7.5)
